name,type
author_bot,boolean
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
branch,keyword
closed,date
domain,keyword
githash,keyword
grimoire_creation_date,date
is_gerrit_review,long
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,keyword
number,keyword
ocean-unique-id,keyword
opened,date
origin,keyword
owner_bot,boolean
owner_domain,keyword
owner_id,keyword
owner_name,keyword
owner_org_name,keyword
owner_user_name,keyword
owner_uuid,keyword
patchsets,long
project_1,keyword
project,keyword
repository,keyword
status,keyword
summary_analyzed,text
summary,keyword
tag,keyword
timeopen,double
url,keyword
uuid,keyword
