description_analyzed,text
description,keyword
full_description_analyzed,text
grimoire_creation_date,date
id,keyword
is_automated,boolean
is_dockerhub_dockerhub,long
is_docker_image,long
is_event,long
is_private,boolean
last_updated,date
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
origin,keyword
pull_count,long
repository_type,keyword
star_count,long
status,long
tag,keyword
user,keyword
uuid,keyword
