author_bot,boolean
author_id,keyword
author_name,keyword
author_org_name,keyword
author_trust_level,long
author_url,keyword
author_user_name,keyword
author_uuid,keyword
categories,keyword
category_id,long
category_name,keyword
display_username,keyword
first_answer,long
first_reply_time,float
grimoire_creation_date,date
id,long
is_discourse_answer,long
is_discourse_question,long
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
ocean-unique-id,keyword
origin,keyword
project_1,keyword
project,keyword
question_like_count,long
question_participants,long
question_pinned_at,date
question_pinned,boolean
question_pinned_globally,boolean
question_posts_count,long
question_replies,long
question_title,keyword
question_views,long
reads,long
reply_count,long
score,float
tag,keyword
type,keyword
url,keyword
username,keyword
uuid,keyword
