author_bot,boolean
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_uuid,keyword
body_extract,keyword
body,text
Date,keyword
email_date,date
From_bot,boolean
From_domain,keyword
From_id,keyword
From,keyword
From_name,keyword
From_org_name,keyword
From_uuid,keyword
grimoire_creation_date,date
is_pipermail_message,long
kip_binding,long
kip_discuss_inactive_days,float
kip_discuss_time_days,float
kip_final_status,keyword
kip_is_discuss,long
kip_is_first_discuss,long
kip_is_first_vote,long
kip_is_last_discuss,long
kip_is_last_vote,long
kip_is_vote,long
kip,long
kip_result,long
kip_start_end,keyword
kip_status,keyword
kip_type,keyword
kip_vote,long
kip_voting_inactive_days,float
kip_voting_time_days,float
list,keyword
Message-ID,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
ocean-unique-id,keyword
origin,keyword
project_1,keyword
project,keyword
root,boolean
size,long
Subject_analyzed,text
Subject,keyword
tag,keyword
tz,long
uuid,keyword
