assigned,keyword
assigned_to_bot,boolean
assigned_to_domain,keyword
assigned_to_id,keyword
assigned_to_name,keyword
assigned_to_org_name,keyword
assigned_to_user_name,keyword
assigned_to_uuid,keyword
assignee_email,keyword
author_bot,boolean
author_domain,keyword
author_email,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
bug_id,keyword
changeddate_date,date
changes,long
comments,long
component,keyword
creation_date,date
delta_ts,date
grimoire_creation_date,date
is_bugzilla_bug,long
labels,list
main_description,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
name,type
ocean-unique-id,keyword
op_sys,keyword
origin,keyword
platform,keyword
priority,keyword
product,keyword
project_1,keyword
project,keyword
project_name,keyword
qa_contact_bot,boolean
qa_contact_domain,keyword
qa_contact_id,keyword
qa_contact_name,keyword
qa_contact_org_name,keyword
qa_contact_user_name,keyword
qa_contact_uuid,keyword
reporter_bot,boolean
reporter_domain,keyword
reporter_email,keyword
reporter_id,keyword
reporter_name,keyword
reporter_org_name,keyword
reporter_user_name,keyword
reporter_uuid,keyword
resolution_days,float
resolution,keyword
severity,keyword
status,keyword
tag,keyword
timeopen_days,float
url,keyword
uuid,keyword
votes,keyword
